,id,Country,cause,year,incidence,prevalence,sex_Both,sex_Female,sex_Male,age_1 to 4,age_10 to 14,age_15 to 19,age_20 to 24,age_25 to 29,age_30 to 34,age_35 to 39,age_40 to 44,age_45 to 49,age_5 to 9,age_50 to 54,age_55 to 59,age_60 to 64,age_65 to 69,age_70 to 74,age_75 to 79,age_80 to 84,age_85 to 89,age_90 to 94
19221,12,Algeria,Amphetamine use disorders,2015,0.0,116.9312493595698,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
548556,268,Georgia,Dysthymia,2016,0.0,35.805605952426625,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
627779,328,Guyana,Cocaine use disorders,2015,0.0,53.46629329317257,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1016003,520,Nauru,Other drug use disorders,2017,0.0,0.0005852978551151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1150528,600,Paraguay,Bipolar disorder,2017,0.0,1446.60776985192,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105752,44,Bahamas,Anxiety disorders,2019,240.71736896252543,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
690632,364,Iran (Islamic Republic of),Bipolar disorder,2018,0.0,51546.29263543626,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1042009,554,New Zealand,Bipolar disorder,2017,0.0,2976.8217425139687,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502970,792,Turkey,Attention-deficit/hyperactivity disorder,2019,17899.6993459725,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
401578,208,Denmark,Anorexia nervosa,2018,10.55907423604888,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
641692,332,Haiti,Major depressive disorder,2017,0.0,23253.07827095312,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
854263,442,Luxembourg,Cocaine use disorders,2015,0.0,2.1860127265113927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
505620,242,Fiji,Autism spectrum disorders,2016,0.0,168.07727136061388,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60877,32,Argentina,Anxiety disorders,2016,18403.67083933293,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574427,860,Uzbekistan,Opioid use disorders,2017,0.0,3.936752017874739,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
607224,320,Guatemala,Idiopathic developmental intellectual disability,2019,0.0,500.2662669472435,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1367388,710,South Africa,Other mental disorders,2016,0.0,6203.517614560595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1609754,894,Zambia,Schizophrenia,2015,318.48950200488883,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1036856,554,New Zealand,Cocaine use disorders,2015,0.0,23.56704990757474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1322671,702,Singapore,Cannabis use disorders,2017,0.0,54.07930182994503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1459001,626,Timor-Leste,Other drug use disorders,2018,0.0,9.805743578352576,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092726,578,Norway,Amphetamine use disorders,2015,84.2505451989853,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
335328,178,Congo,Bipolar disorder,2018,3.027828182153669,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1474914,772,Tokelau,Alcohol use disorders,2017,0.0,0.8663618846202189,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
973760,499,Montenegro,Anxiety disorders,2019,0.0,561.6219482495335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1353276,706,Somalia,Cocaine use disorders,2015,0.0,3.295319818179673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
266004,116,Cambodia,Attention-deficit/hyperactivity disorder,2018,0.0,0.4773027513192437,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
885557,462,Maldives,Amphetamine use disorders,2019,0.0348773544659726,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1132007,591,Panama,Anxiety disorders,2016,0.0,7092.30565184219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
275559,124,Canada,Bipolar disorder,2018,30.586539062257195,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256689,132,Cabo Verde,Other mental disorders,2016,0.0,11.895237214755936,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67647,51,Armenia,Schizophrenia,2018,22.864217382639985,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304296,152,Chile,Schizophrenia,2019,31.542781103367144,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411437,752,Sweden,Anxiety disorders,2015,0.0,1705.1654947007876,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1319790,702,Singapore,Opioid use disorders,2019,1.0423059748777854,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
430809,214,Dominican Republic,Alcohol use disorders,2019,1738.240318505524,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
669500,356,India,Alcohol use disorders,2019,17841.510195970037,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1584636,862,Venezuela (Bolivarian Republic of),Self-harm by firearm,2016,13.973842013959052,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1467379,768,Togo,Major depressive disorder,2017,0.0,2273.401540718914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
183111,64,Bhutan,Attention-deficit/hyperactivity disorder,2016,0.0,743.2033442305906,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538808,270,Gambia,Cocaine use disorders,2017,0.0,5.937011309817337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1214415,643,Russian Federation,Autism spectrum disorders,2017,0.0,23706.88206691469,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945291,583,Micronesia (Federated States of),Bipolar disorder,2015,0.0,16.394174864002498,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1434320,760,Syrian Arab Republic,Idiopathic developmental intellectual disability,2016,0.0,914.1454310169167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
829117,430,Liberia,Cannabis use disorders,2019,0.2896980850712215,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001387,516,Namibia,Dysthymia,2015,1.7154149791793438,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417790,212,Dominica,Alcohol use disorders,2016,2.029366247674373,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1051900,562,Niger,Schizophrenia,2017,64.39573797915162,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1108539,512,Oman,Bipolar disorder,2018,0.0,3.015018631385453,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
477717,233,Estonia,Schizophrenia,2016,0.7121931710518934,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
921934,478,Mauritania,Anorexia nervosa,2018,0.0,58.70448266267131,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220959,96,Brunei Darussalam,Amphetamine use disorders,2015,0.0,0.0125256108850559,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
466265,226,Equatorial Guinea,Cocaine use disorders,2016,0.0,1.363743584444197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
953725,492,Monaco,Opioid use disorders,2015,0.0,0.4731931961584172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
554754,276,Germany,Major depressive disorder,2016,89821.01446376131,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239476,854,Burkina Faso,Schizophrenia,2019,0.0,7.955676779801164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
277510,124,Canada,Alcohol use disorders,2019,13773.045009043297,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007540,516,Namibia,Alcohol use disorders,2018,0.0,3719.4964728971777,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1312853,694,Sierra Leone,Anorexia nervosa,2016,233.0890918799414,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710558,376,Israel,Bipolar disorder,2019,141.7942680039298,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
898727,466,Mali,Opioid use disorders,2016,0.0,1533.868014039469,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1068446,570,Niue,Dysthymia,2018,0.3581327656250135,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1522939,798,Tuvalu,Cocaine use disorders,2015,0.0,0.0245455949688345,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176673,64,Bhutan,Opioid use disorders,2018,0.2834664756790423,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31492,16,American Samoa,Bulimia nervosa,2019,0.0,4.050728739625487,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1505428,792,Turkey,Attention-deficit/hyperactivity disorder,2017,0.0,49447.98751710141,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087023,580,Northern Mariana Islands,Bipolar disorder,2015,0.2274187407855716,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1126343,591,Panama,Self-harm by other specified means,2018,2.0767726916227867,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1213563,643,Russian Federation,Dysthymia,2015,24.96221211793685,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978007,504,Morocco,Cannabis use disorders,2015,69.92895754300817,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
389648,196,Cyprus,Bipolar disorder,2019,0.0,65.86152149786223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73013,51,Armenia,Other mental disorders,2019,0.0,2044.2837236833964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
427530,214,Dominican Republic,Other drug use disorders,2015,0.0,76.18848149579895,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
184705,68,Bolivia (Plurinational State of),Anxiety disorders,2018,2763.1299594799216,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1485017,780,Trinidad and Tobago,Alcohol use disorders,2016,1529.1832871200024,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1283493,682,Saudi Arabia,Cannabis use disorders,2016,0.0,384.80956816882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
527550,266,Gabon,Opioid use disorders,2019,17.00222728881186,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202697,72,Botswana,Opioid use disorders,2016,0.4478319086434627,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1413194,752,Sweden,Other mental disorders,2016,0.0,4552.269991614033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1464345,768,Togo,Major depressive disorder,2019,0.0,6965.601210182992,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1445569,764,Thailand,Self-harm by other specified means,2019,513.3129830380024,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
708532,372,Ireland,Anorexia nervosa,2018,0.0,527.7678596057187,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109220,48,Bahrain,Self-harm by other specified means,2018,0.3297977176269796,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1127493,591,Panama,Opioid use disorders,2019,61.573298312361295,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1551426,840,United States of America,Amphetamine use disorders,2016,4761.1322884614665,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1350581,90,Solomon Islands,Other drug use disorders,2019,0.0,5.637182435332844,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57502,28,Antigua and Barbuda,Alcohol use disorders,2017,0.0,23.152133877661065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1241890,662,Saint Lucia,Other mental disorders,2018,0.0,262.3868205992052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
457183,222,El Salvador,Amphetamine use disorders,2017,0.0,582.9703881281512,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863667,450,Madagascar,Self-harm by other specified means,2018,0.0,294.03134986752553,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
264456,116,Cambodia,Autism spectrum disorders,2019,0.0,1396.6649614441787,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1039696,554,New Zealand,Alcohol use disorders,2019,0.0,1133.8122992743145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
490291,748,Eswatini,Conduct disorder,2016,0.0,1743.3288181016649,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506581,792,Turkey,Schizophrenia,2016,0.0,14290.424800124492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
634232,332,Haiti,Bipolar disorder,2017,3.1199242815621653,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1275404,678,Sao Tome and Principe,Dysthymia,2017,0.0,47.39533969259384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1035360,554,New Zealand,Opioid use disorders,2017,45.43915018088378,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1162213,608,Philippines,Idiopathic developmental intellectual disability,2015,0.0,76759.70792302352,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625765,328,Guyana,Alcohol use disorders,2018,20.23286557750245,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562945,288,Ghana,Amphetamine use disorders,2017,0.904551767885641,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1134311,598,Papua New Guinea,Major depressive disorder,2017,24019.197792418847,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
467428,232,Eritrea,Other drug use disorders,2018,136.55780040333792,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491756,748,Eswatini,Anxiety disorders,2017,0.0,889.0218045398581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1503522,792,Turkey,Anxiety disorders,2018,24655.761868207886,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595614,704,Viet Nam,Dysthymia,2019,9903.64370449957,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
511581,246,Finland,Amphetamine use disorders,2015,0.0,361.4055028893304,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1277119,682,Saudi Arabia,Self-harm by firearm,2018,2.3865668513001848,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
765422,404,Kenya,Attention-deficit/hyperactivity disorder,2016,0.0,42.48594682914997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
596152,316,Guam,Bipolar disorder,2017,2.7120642647505875,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034117,528,Netherlands,Self-harm by other specified means,2017,0.0,1118.9127483322736,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1186640,630,Puerto Rico,Bipolar disorder,2018,61.76625195427263,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
277429,124,Canada,Other mental disorders,2015,0.0,25847.69531741884,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
649118,340,Honduras,Self-harm by firearm,2018,0.0,24.38904196247579,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
337767,178,Congo,Amphetamine use disorders,2015,0.0,0.4780427588505357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1039101,554,New Zealand,Idiopathic developmental intellectual disability,2016,0.0,378.7863922009106,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156562,84,Belize,Cocaine use disorders,2019,0.0,1.4755708592746624,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1403458,740,Suriname,Bipolar disorder,2015,24.57942952002925,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492497,231,Ethiopia,Anxiety disorders,2017,10777.30998025668,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312314,694,Sierra Leone,Schizophrenia,2016,21.011881610521733,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646798,340,Honduras,Cannabis use disorders,2017,0.0,146.28950248131255,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1250270,670,Saint Vincent and the Grenadines,Opioid use disorders,2017,0.0,6.663986227087703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
468433,232,Eritrea,Anxiety disorders,2016,37.54002402673713,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1213129,643,Russian Federation,Alcohol use disorders,2015,104425.98004350612,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
587472,308,Grenada,Cocaine use disorders,2017,0.2482700029960333,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22787,12,Algeria,Attention-deficit/hyperactivity disorder,2018,0.0,70410.02323689035,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1542722,804,Ukraine,Autism spectrum disorders,2018,0.0,934.0262727419198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
454243,222,El Salvador,Self-harm by firearm,2017,0.0,5.491558273565846,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92601,31,Azerbaijan,Opioid use disorders,2017,197.3565203807556,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526282,266,Gabon,Bipolar disorder,2018,114.57366451042203,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292802,688,Serbia,Bulimia nervosa,2017,224.9841114141314,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
891757,462,Maldives,Alcohol use disorders,2017,0.0,24.072020032970748,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23547,12,Algeria,Schizophrenia,2017,0.0,7527.639734488872,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410176,262,Djibouti,Opioid use disorders,2018,3.480728070249205,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1510917,795,Turkmenistan,Anorexia nervosa,2018,35.72848221456038,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803971,428,Latvia,Anorexia nervosa,2017,28.30272423827218,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870624,454,Malawi,Schizophrenia,2015,0.0,34.54057558147495,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1557981,840,United States of America,Opioid use disorders,2018,0.0,132417.8701177651,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1387986,144,Sri Lanka,Other mental disorders,2015,0.0,10153.174623562474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68010,51,Armenia,Major depressive disorder,2018,151.04988555116387,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
991719,508,Mozambique,Dysthymia,2018,0.0,12465.963286195143,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
301081,152,Chile,Opioid use disorders,2018,7.472021973110941,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177536,64,Bhutan,Opioid use disorders,2019,0.5598239614119641,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1233157,659,Saint Kitts and Nevis,Cocaine use disorders,2016,0.0,0.0578272425977099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
432907,214,Dominican Republic,Autism spectrum disorders,2017,0.0,28.17006450871117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1339285,705,Slovenia,Attention-deficit/hyperactivity disorder,2016,0.0,306.5560880530658,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1331582,703,Slovakia,Bipolar disorder,2019,0.0,45.22627908224787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1181602,620,Portugal,Self-harm by firearm,2019,0.0,18.95350772611044,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1603999,887,Yemen,Cocaine use disorders,2016,177.072722525571,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508623,242,Fiji,Cannabis use disorders,2017,0.0,837.1047063877053,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1581464,548,Vanuatu,Other drug use disorders,2016,0.0,0.002196063458744,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
